archArea,atchBldArea,atchBldCnt,bcRat,bjdongCd,bldNm,block,bun,bylotCnt,crtnDay,dongNm,emgenUseElvtCnt,engrEpi,engrGrade,engrRat,etcPurps,etcRoof,etcStrct,fmlyCnt,gnBldCert,gnBldGrade,grndFlrCnt,heit,hhldCnt,hoCnt,indrAutoArea,indrAutoUtcnt,indrMechArea,indrMechUtcnt,itgBldCert,itgBldGrade,ji,lot,mainAtchGbCd,mainAtchGbCdNm,mainPurpsCd,mainPurpsCdNm,mgmBldrgstPk,naBjdongCd,naMainBun,naRoadCd,naSubBun,naUgrndCd,newPlatPlc,oudrAutoArea,oudrAutoUtcnt,oudrMechArea,oudrMechUtcnt,platArea,platGbCd,platPlc,pmsDay,pmsnoGbCd,pmsnoGbCdNm,pmsnoKikCd,pmsnoKikCdNm,pmsnoYear,regstrGbCd,regstrGbCdNm,regstrKindCd,regstrKindCdNm,rideUseElvtCnt,rnum,roofCd,roofCdNm,rserthqkAblty,rserthqkDsgnApplyYn,sigunguCd,splotNm,stcnsDay,strctCd,strctCdNm,totArea,totDongTotArea,ugrndFlrCnt,useAprDay,vlRat,vlRatEstmTotArea
382.3,70.3,1,14.66,10300, , ,0012,0,20220823, ,0,0, ,0,제1종근린생활시설(소매점),기타지붕(판넬),경량철골구조,0,0, ,1,4.75,0,0,0,0,0,0,0, ,0002, ,0,주건축물,03000,제1종근린생활시설,44133-55762,10302,17.0,441332250001,21.0,0, 충청남도 천안시 서북구 동서대로 17-21,34.5,3,0,0,2608,0,충청남도 천안시 서북구 백석동 12-2번지,20040423,1101,신축허가, , ,2004,1,일반,2,일반건축물,0,31,90,기타지붕, ,0,44133, ,20040521,32,경량철골구조,382.3,382.3,0,20040730,14.66,382.3
324,0,0,59.12,10300, , ,0014,0,20211227, ,0,0, ,0,소매점,기타지붕,일반철골구조,0,0, ,1,7.8,0,0,0,0,0,0,0, ,0001, ,0,주건축물,03000,제1종근린생활시설,44133-100441594,10302,17.0,441332250001,28.0,0, 충청남도 천안시 서북구 동서대로 17-28,25,2,0,0,548,0,충청남도 천안시 서북구 백석동 14-1번지,20210630,1101,신축허가,5660032,건축과,2021,1,일반,2,일반건축물,0,32,90,기타지붕,VII-0.173g,1,44133, ,20210719,31,일반철골구조,324,324,0,20211201,59.12,324
167.2,0,0,19.67,10300, , ,0014,0,20190312, ,0,0, ,0,제1종근린생활시설,기타지붕(샌드위치패널),경량철골구조,0,0, ,1,6.95,0,0,0,0,0,0,0, ,0003, ,0,주건축물,03000,제1종근린생활시설,44133-40258,10302,17.0,441332250001,23.0,0, 충청남도 천안시 서북구 동서대로 17-23,11.5,1,0,0,850,0,충청남도 천안시 서북구 백석동 14-3번지,20050824,1101,신축허가, , ,2005,1,일반,2,일반건축물,0,33,90,기타지붕, ,0,44133, ,20050912,32,경량철골구조,167.2,167.2,0,20051208,19.67,167.2
96,0,0,17.52,10300, , ,0014,0,20210713, ,0,0, ,0,제1종근린생활시설,기타지붕,경량철골구조,0,0, ,1,5.6,0,0,0,0,0,0,0, ,0015, ,0,주건축물,03000,제1종근린생활시설,44133-100431955,10301,36.0,441333250048,14.0,0, 충청남도 천안시 서북구 한들3로 36-14,0,0,0,0,548,0,충청남도 천안시 서북구 백석동 14-15번지,20210104,1201,신축신고,5660032,건축과,2021,1,일반,2,일반건축물,0,34,90,기타지붕, ,0,44133, ,20210120,32,경량철골구조,96,0,0,20210513,17.52,96
325.6,0,0,59.52,10300, , ,0014,0,20210713, ,0,0, ,0,제1종근린생활시설,기타지붕,일반철골구조,0,0, ,1,8.6,0,0,0,0,0,0,0, ,0016, ,0,주건축물,03000,제1종근린생활시설,44133-100431954,10301,36.0,441333250048,16.0,0, 충청남도 천안시 서북구 한들3로 36-16,25,2,0,0,547,0,충청남도 천안시 서북구 백석동 14-16번지,20210104,1101,신축허가,5660032,건축과,2021,1,일반,2,일반건축물,0,35,90,기타지붕,VII-0.173g,1,44133, ,20210123,31,일반철골구조,325.6,0,0,20210513,59.52,325.6
237.08,0,0,0,10300,백석동 REFINED, ,0016,0,20180112,1동,0,0, ,0,"제1,2종근린생활시설",(철근)콘크리트,철근콘크리트구조,0,0, ,3,15.07,0,0,0,0,0,0,0, ,0025, ,0,주건축물,03000,제1종근린생활시설,44133-100343858,10301,36.0,441333250048,24.0,0, 충청남도 천안시 서북구 한들3로 36-24,0,0,0,0,0,0,충청남도 천안시 서북구 백석동 16-25번지,20161122,1101,신축허가,5660007,도시건축과,2016,1,일반,2,일반건축물,1,36,10,(철근)콘크리트,VII-0.1933g,1,44133, ,20170301,21,철근콘크리트구조,619.19,619.19,0,20170921,0,619.19
32.52,0,0,0,10300,백석동 REFINED, ,0016,0,20200330,2동,0,0, ,0,제2근린생활시설,(철근)콘크리트,철근콘크리트구조,0,0, ,3,11.72,0,0,0,0,0,0,0, ,0025, ,0,주건축물,04000,제2종근린생활시설,44133-100343859,10301,36.0,441333250048,24.0,0, 충청남도 천안시 서북구 한들3로 36-24,0,0,0,0,0,0,충청남도 천안시 서북구 백석동 16-25번지,20161122,1101,신축허가,5660007,도시건축과,2016,1,일반,2,일반건축물,0,37,10,(철근)콘크리트,VII-0.1933g,1,44133, ,20170301,21,철근콘크리트구조,87.5,87.5,0,20170921,0,87.5
65.2,0,0,0,10300, , ,0023,0,20170214, ,0,0, ,0,주택,스레이트,토담조,1,0, ,1,0,0,0,0,0,0,0,0, ,0000, ,0,주건축물,01000,단독주택,44133-54329, ,0.0, ,0.0,0, ,0,0,0,0,0,0,충청남도 천안시 서북구 백석동 23번지, , , , , , ,1,일반,2,일반건축물,0,38,30,슬레이트, , ,44133, , ,19,기타조적구조,65.2,65.2,0,19560510,0,65.2
911.5,0,0,59.54,10300, , ,0026,3,20210916, ,0,0, ,0,제2종근린생활시설,기타지붕(판넬),일반철골구조,0,0, ,1,6.33,0,0,0,0,0,0,0, ,0003, ,0,주건축물,04000,제2종근린생활시설,44133-100210764,10301,41.0,441333250015,0.0,0, 충청남도 천안시 서북구 노태산로 41,82,7,0,0,1531,0,충청남도 천안시 서북구 백석동 26-3번지,20090305,1101,신축허가,5660007,도시건축과,2009,1,일반,2,일반건축물,0,39,90,기타지붕, ,0,44133, ,20090316,31,일반철골구조,911.5,911.5,0,20100719,59.54,911.5
4.08,0,0,0.33,10300, , ,0027,1,20200427, ,0,0, ,0,자동차관련시설,철판,경량철골구조,0,0, ,1,2.5,0,0,0,0,0,0,0, ,0004, ,0,주건축물,20000,자동차관련시설,44133-100349220,10301,37.0,441333250015,0.0,0, 충청남도 천안시 서북구 노태산로 37,0,0,0,0,1242,0,충청남도 천안시 서북구 백석동 27-4번지,20090305,1201,신축신고,5660007,도시건축과,2017,1,일반,2,일반건축물,0,40,90,기타지붕, ,0,44133, ,20170715,32,경량철골구조,4.08,4.08,0,20171215,0.33,4.08
