,as1,as2,as3,as4,bjdCode,kaptCode,kaptName
357,경기도,수원영통구,매탄동,4111710100,A44371902,매탄삼성2차,
358,경기도,용인기흥구,영덕동,4146311100,A44678707,흥덕마을13단지경남아너스빌,
359,광주광역시,서구,화정동,2914011900,A50224407,화정태영,
360,전라남도,여수시,신기동,4613013300,A55580303,우림필유아파트,
361,경기도,화성시,기안동,4159012400,A44531002,우림그린빌리지,
362,부산광역시,북구,금곡동,2632010100,A61676422,금곡주공4단지,
363,경기도,시흥시,거모동,4139012700,A42988105,거모동원,
364,서울특별시,노원구,월계동,1135010200,A13987503,월계2차한일,
365,대구광역시,중구,태평로1가,2711012400,A70011101,라이프아파트,
366,부산광역시,북구,금곡동,2632010100,A61676605,금곡주공6단지아파트,
367,서울특별시,강동구,명일동,1174010100,A13407104,명일삼익그린2차,
368,경상북도,포항북구,학잠동,4711311500,A79178404,학잠대림힐타운,
369,서울특별시,노원구,공릉동,1135010300,A13980604,공릉대아2차,
370,전라북도,정읍시,수성동,4518010100,A58001003,수성주공2단지,
371,전라북도,전주완산구,효자동2가,4511114100,A56076008,효자휴먼시아6단지,
372,경기도,시흥시,신천동,4139010200,A42972103,시흥삼환나우빌,
373,전라남도,여수시,선원동,4613013500,A55504001,선원대주아파트,
