시군구,방문자 수,관광명소,기타,숙박,음식점,카페,A10,A11,A12
포천시,21368171,6,5,79,13,17,4.27,4.16,4.1
포항시,35572356,4,15,46,15,31,4.13,4.15,4.02
하남시,26321412,4,15,1,14,28,4.15,4.12,4.04
하동군,5916953,4,8,17,2,2,4.35,4.18,4.18
함안군,6340842,3,4,3,1,3,4.26,4.09,4
함양군,4246959,2,5,5,0,0,4.23,3.96,3.89
함평군,4141846,1,5,1,0,4,4.07,3.95,3.95
합천군,6173042,4,3,13,0,2,4.22,4.23,4.09
해남군,5883901,3,4,11,2,0,4.29,4.24,4.09
홍성군,7105846,3,4,5,3,5,4.09,4.24,4.06
홍천군,15071693,5,5,69,6,8,4.26,4.15,4.08
화성시,51736786,13,25,24,9,66,4.19,4.02,3.98
화순군,7963778,4,4,4,2,8,4.41,4.16,3.97
화천군,2428709,3,2,11,0,0,4,4.23,4.11
횡성군,8176074,2,0,31,2,4,4.08,4.24,4.13
